#{"t_start": 1703795922.0649867, "env_id": "ContinuousCartPole-v0"}
r,l,t
38.0,38,0.610423
32.0,32,0.622849
26.0,26,0.631649
54.0,54,2.520306
39.0,39,3.683327
32.0,32,4.614376
33.0,33,5.755749
36.0,36,6.917019
30.0,30,7.883926
36.0,36,8.956349
49.0,49,10.660498
57.0,57,12.602783
35.0,35,13.730424
30.0,30,14.66605
27.0,27,15.692549
51.0,51,17.287095
25.0,25,18.03296
50.0,50,19.61901
55.0,55,21.757839
41.0,41,23.063586
29.0,29,23.957396
31.0,31,24.90069
76.0,76,27.444873
30.0,30,28.589329
35.0,35,29.901746
57.0,57,31.780078
54.0,54,33.550107
26.0,26,34.45072
47.0,47,36.008416
26.0,26,37.022829
33.0,33,38.261418
41.0,41,39.704099
42.0,42,41.298528
47.0,47,43.19099
31.0,31,44.195762
33.0,33,45.144835
33.0,33,46.07694
36.0,36,47.317579
39.0,39,48.809807
29.0,29,49.768811
33.0,33,50.708641
28.0,28,51.567491
73.0,73,53.69411
30.0,30,54.475425
42.0,42,55.59885
81.0,81,57.772359
29.0,29,58.693585
65.0,65,60.543757
37.0,37,61.696477
45.0,45,63.278993
50.0,50,64.846389
25.0,25,65.597998
31.0,31,66.607405
62.0,62,68.621051
75.0,75,70.978985
44.0,44,72.468422
50.0,50,74.221528
44.0,44,75.456083
87.0,87,78.014139
43.0,43,79.213726
28.0,28,80.041102
55.0,55,81.707158
72.0,72,83.920346
30.0,30,84.860673
49.0,49,86.25573
58.0,58,87.850361
64.0,64,90.237164
28.0,28,91.153746
52.0,52,92.862407
30.0,30,93.871525
33.0,33,94.99609
51.0,51,96.77872
30.0,30,97.849932
44.0,44,99.680989
38.0,38,100.943767
54.0,54,102.711877
44.0,44,104.088197
29.0,29,104.971142
30.0,30,105.945878
44.0,44,107.521601
33.0,33,108.57023
35.0,35,109.821238
44.0,44,111.35376
34.0,34,112.381766
51.0,51,114.104183
38.0,38,115.291069
45.0,45,116.694975
36.0,36,117.928518
46.0,46,119.618576
40.0,40,120.849342
36.0,36,122.08366
50.0,50,123.653876
43.0,43,125.061745
51.0,51,126.727265
51.0,51,128.467742
51.0,51,130.057349
48.0,48,131.823772
42.0,42,133.332861
37.0,37,134.469341
44.0,44,135.98056
53.0,53,137.780564
48.0,48,139.340111
49.0,49,140.920382
42.0,42,142.3164
73.0,73,144.505836
68.0,68,146.640823
39.0,39,147.794184
42.0,42,149.189762
88.0,88,151.885531
58.0,58,153.705582
48.0,48,155.233801
71.0,71,157.585796
41.0,41,158.903775
50.0,50,160.5115
57.0,57,162.354867
85.0,85,165.081237
74.0,74,167.361572
47.0,47,168.820377
59.0,59,170.722432
56.0,56,172.3581
41.0,41,173.772979
70.0,70,176.231093
103.0,103,179.685242
192.0,192,185.916754
141.0,141,190.512557
63.0,63,192.621181
91.0,91,195.480517
254.0,254,203.499184
106.0,106,207.005089
96.0,96,210.256468
175.0,175,215.744907
294.0,294,224.635583
108.0,108,227.747205
194.0,194,233.75356
161.0,161,238.799551
399.0,399,251.556778
175.0,175,257.638283
241.0,241,266.851004
266.0,266,277.155413
291.0,291,287.157708
332.0,332,297.502533
253.0,253,305.794211
351.0,351,317.167185
318.0,318,327.607749
350.0,350,339.031618
310.0,310,348.49585
247.0,247,357.67428
246.0,246,375.201237
417.0,417,393.639153
353.0,353,412.362009
266.0,266,426.854603
500.0,500,448.39277
369.0,369,463.639856
339.0,339,481.541511
280.0,280,491.774678
308.0,308,501.078418
262.0,262,510.831831
395.0,395,523.221079
346.0,346,532.830547
395.0,395,544.579024
316.0,316,554.381845
326.0,326,564.653744
410.0,410,575.161042
294.0,294,584.447886
289.0,289,592.939859
332.0,332,603.34268
314.0,314,615.44539
350.0,350,631.442963
500.0,500,645.261139
263.0,263,653.019647
290.0,290,661.673959
284.0,284,669.242299
301.0,301,676.697908
216.0,216,682.957776
232.0,232,688.472018
326.0,326,696.397496
422.0,422,707.807024
359.0,359,716.032186
286.0,286,724.247916
419.0,419,735.68135
231.0,231,744.445764
489.0,489,762.827759
386.0,386,775.35099
261.0,261,783.140142
311.0,311,790.57673
438.0,438,800.524863
358.0,358,808.62562
228.0,228,813.694253
280.0,280,820.640677
